iteration,s,t,f,k,b,amount
iteration_731,2,4,4,6,2,64.0
iteration_731,2,4,1,1,3,63.0
iteration_731,2,4,2,5,3,69.0
iteration_731,2,4,3,12,3,67.0
iteration_731,2,4,4,6,3,70.0
iteration_731,2,4,5,11,3,63.0
iteration_731,2,4,6,9,3,25.0
iteration_731,2,5,1,1,1,61.0
iteration_731,2,5,2,5,1,60.0
iteration_731,2,5,3,12,1,64.0
iteration_731,2,5,4,6,1,65.0
iteration_731,2,5,5,11,1,67.0
iteration_731,2,5,6,9,1,60.0
iteration_731,2,5,7,2,1,65.0
iteration_731,2,5,8,11,1,66.0
iteration_731,2,5,9,11,1,66.0
iteration_731,2,5,10,3,1,69.0
iteration_731,2,5,1,1,2,61.0
iteration_731,2,5,2,5,2,60.0
iteration_731,2,5,3,12,2,64.0
iteration_731,2,5,4,6,2,65.0
iteration_731,2,5,5,11,2,67.0
iteration_731,2,5,6,9,2,60.0
iteration_731,2,5,7,2,2,65.0
iteration_731,2,5,8,11,2,66.0
iteration_731,2,5,9,11,2,66.0
iteration_731,2,5,10,3,2,39.0
iteration_731,2,5,1,1,3,61.0
iteration_731,2,5,2,5,3,60.0
iteration_731,2,5,3,12,3,64.0
iteration_731,2,5,4,6,3,65.0
iteration_731,2,5,5,11,3,67.0
iteration_731,2,5,6,9,3,60.0
iteration_731,2,5,7,2,3,65.0
iteration_731,2,5,8,11,3,66.0
iteration_731,2,5,9,11,3,66.0
iteration_731,2,5,10,3,3,70.0
iteration_731,2,5,11,10,3,61.0
iteration_731,2,5,12,12,3,67.0
iteration_731,2,5,13,6,3,64.0
iteration_731,2,5,14,12,3,63.0
iteration_731,2,5,15,1,3,70.0
iteration_731,2,5,16,4,3,64.0
iteration_731,2,5,17,3,3,62.0
iteration_731,2,5,18,5,3,68.0
iteration_731,2,5,19,10,3,63.0
iteration_731,2,5,20,10,3,2.0
iteration_731,2,6,1,1,1,69.0
iteration_731,2,6,2,5,1,61.0
iteration_731,2,6,3,12,1,66.0
iteration_731,2,6,4,6,1,66.0
iteration_731,2,6,5,11,1,50.0
iteration_731,2,6,1,1,2,69.0
iteration_731,2,6,2,5,2,61.0
iteration_731,2,6,3,12,2,66.0
iteration_731,2,6,4,6,2,66.0
iteration_731,2,6,5,11,2,69.0
iteration_731,2,6,6,9,2,69.0
iteration_731,2,6,7,2,2,65.0
iteration_731,2,6,8,11,2,38.0
iteration_731,2,6,1,1,3,69.0
iteration_731,2,6,2,5,3,61.0
iteration_731,2,6,3,12,3,66.0
iteration_731,2,6,4,6,3,66.0
iteration_731,2,6,5,11,3,69.0
iteration_731,2,6,6,9,3,69.0
iteration_731,2,6,7,2,3,65.0
iteration_731,2,6,8,11,3,52.0
iteration_731,3,1,1,1,1,129.0
iteration_731,3,1,2,5,1,123.0
iteration_731,3,1,3,12,1,121.0
iteration_731,3,1,4,6,1,123.0
iteration_731,3,1,5,11,1,123.0
iteration_731,3,1,6,9,1,125.0
iteration_731,3,1,7,2,1,122.0
iteration_731,3,1,8,11,1,122.0
iteration_731,3,1,8,10,1,8.0
iteration_731,3,1,9,7,1,129.0
iteration_731,3,1,10,3,1,128.0
iteration_731,3,1,11,10,1,126.0
iteration_731,3,1,12,12,1,64.0
iteration_731,3,1,1,1,2,129.0
iteration_731,3,1,2,5,2,123.0
iteration_731,3,1,3,12,2,121.0
iteration_731,3,1,4,6,2,123.0
iteration_731,3,1,5,11,2,123.0
iteration_731,3,1,6,9,2,78.0
iteration_731,3,1,1,1,3,129.0
iteration_731,3,1,2,5,3,123.0
iteration_731,3,1,3,12,3,121.0
iteration_731,3,1,4,6,3,123.0
iteration_731,3,1,5,11,3,123.0
iteration_731,3,1,6,9,3,125.0
iteration_731,3,1,7,2,3,122.0
iteration_731,3,1,8,11,3,122.0
iteration_731,3,1,8,10,3,8.0
iteration_731,3,1,9,7,3,129.0
iteration_731,3,1,10,3,3,128.0
iteration_731,3,1,11,10,3,126.0
iteration_731,3,1,12,12,3,41.0
iteration_731,3,2,1,1,1,122.0
iteration_731,3,2,2,5,1,121.0
iteration_731,3,2,3,12,1,127.0
iteration_731,3,2,4,6,1,126.0
iteration_731,3,2,5,11,1,93.0
iteration_731,3,2,1,1,2,122.0
iteration_731,3,2,2,5,2,46.0
iteration_731,3,2,1,1,3,122.0
iteration_731,3,2,2,5,3,58.0
iteration_731,3,3,1,1,1,122.0
iteration_731,3,3,2,5,1,125.0
iteration_731,3,3,3,12,1,130.0
iteration_731,3,3,4,6,1,122.0
iteration_731,3,3,5,11,1,130.0
iteration_731,3,3,6,9,1,128.0
iteration_731,3,3,7,2,1,49.0
iteration_731,3,3,1,1,2,122.0
iteration_731,3,3,2,5,2,125.0
iteration_731,3,3,3,12,2,130.0
iteration_731,3,3,4,6,2,122.0
iteration_731,3,3,5,11,2,130.0
iteration_731,3,3,6,9,2,128.0
iteration_731,3,3,7,2,2,125.0
iteration_731,3,3,8,11,2,115.0
iteration_731,3,3,8,10,2,8.0
iteration_731,3,3,9,7,2,17.0
iteration_731,3,3,1,1,3,122.0
iteration_731,3,3,2,5,3,125.0
iteration_731,3,3,3,12,3,130.0
iteration_731,3,3,4,6,3,122.0
iteration_731,3,3,5,11,3,130.0
iteration_731,3,3,6,9,3,128.0
iteration_731,3,3,7,2,3,75.0
iteration_731,3,4,1,1,1,127.0
iteration_731,3,4,2,5,1,126.0
iteration_731,3,4,3,12,1,123.0
iteration_731,3,4,4,6,1,120.0
iteration_731,3,4,5,11,1,120.0
iteration_731,3,4,6,9,1,1.0
iteration_731,3,4,1,1,2,127.0
iteration_731,3,4,2,5,2,126.0
iteration_731,3,4,3,12,2,10.0
iteration_731,3,4,1,1,3,127.0
iteration_731,3,4,2,5,3,126.0
iteration_731,3,4,3,12,3,104.0
iteration_731,3,5,1,1,1,121.0
iteration_731,3,5,2,5,1,128.0
iteration_731,3,5,3,12,1,127.0
iteration_731,3,5,4,6,1,127.0
iteration_731,3,5,5,11,1,120.0
iteration_731,3,5,6,9,1,20.0
iteration_731,3,5,1,1,2,121.0
iteration_731,3,5,2,5,2,128.0
iteration_731,3,5,3,12,2,127.0
iteration_731,3,5,4,6,2,127.0
iteration_731,3,5,5,11,2,110.0
iteration_731,3,5,1,1,3,121.0
iteration_731,3,5,2,5,3,128.0
iteration_731,3,5,3,12,3,127.0
iteration_731,3,5,4,6,3,127.0
iteration_731,3,5,5,11,3,120.0
iteration_731,3,5,6,9,3,122.0
iteration_731,3,5,7,2,3,122.0
iteration_731,3,5,8,11,3,125.0
iteration_731,3,5,8,10,3,3.0
iteration_731,3,5,9,7,3,123.0
iteration_731,3,5,10,3,3,110.0
iteration_731,3,6,1,1,1,128.0
iteration_731,3,6,2,5,1,126.0
iteration_731,3,6,3,12,1,58.0
iteration_731,3,6,1,1,2,128.0
iteration_731,3,6,2,5,2,126.0
iteration_731,3,6,3,12,2,129.0
iteration_731,3,6,4,6,2,120.0
iteration_731,3,6,1,1,3,128.0
iteration_731,3,6,2,5,3,126.0
iteration_731,3,6,3,12,3,129.0
iteration_731,3,6,4,6,3,125.0
iteration_731,3,6,5,11,3,9.0
